Tool,keywords_score,Description,Topics,Type,Citations,URL,bio.tools URL,keyword_rank,citations_rank,Score
merlin - metabolic models reconstruction using genome-scale information,1.000,"merlin is a simple, graphical and user-oriented solution for the reconstruction of genome-scale metabolic models.

It will guide you along the model reconstruction, providing several tools that help to improve and curate the model throughout the whole process.",['Systems biology'],['Desktop application'],30.0,,https://bio.tools/merlin - metabolic models reconstruction using genome-scale information,160.0,142.0,152.8
shiny-seq,1.000,"Advanced Guided Transcriptome Analysis.

Abstract Objective A comprehensive analysis of RNA-Seq data uses a wide range of different tools and algorithms, which are normally limited to R users only. While several tools and advanced analysis pipelines are available, some require programming skills and others lack the support for many important features that enable a more comprehensive data analysis. There is thus, a need for a guided and easy to use comprehensive RNA-Seq data platform, which integrates the state of the art analysis workflow. Results We present the tool Shiny-Seq, which provides a guided and easy to use comprehensive RNA-Seq data analysis pipeline","['Transcriptomics', 'Molecular interactions, pathways and networks', 'Workflows', 'RNA-Seq']",[],0.0,,https://bio.tools/shiny-seq,160.0,112.0,140.8
few-shot segmentation,1.000,"'Squeeze & excite' guided few-shot segmentation of volumetric images.

PyTorch implementation of 'Squeeze and Excite' Guided Few Shot Segmentation of Volumetric Scans.","['Machine learning', 'Medical imaging', 'Model organisms']",['Command-line tool'],0.0,https://github.com/abhi4ssj/few-shot-segmentation/issues,https://bio.tools/few-shot segmentation,160.0,112.0,140.8
paivs,1.000,"prediction of avian influenza virus subtype.

In order to support the pre-processing of NGS data and its interpretation, we developed a user-friendly tool, named prediction of avian influenza virus subtype (PAIVS). PAIVS has multiple functions that support the pre-processing of NGS data, reference-guided AIV subtyping, de novo assembly, variant calling and identifying the closest full-length sequences by BLAST, and provide the graphical summary to the end-users.","['Sequencing', 'Sequence assembly', 'Respiratory medicine', 'Genomics']",['Command-line tool'],0.0,,https://bio.tools/paivs,160.0,112.0,140.8
pypeamplicon,1.000,"a step-by-step guide to obtain a reduced SNP set and a pipeline to automate data processing in the Antarctic Midge, Belgica antarctica | Pipeline to automate the processing of amplicon data | PypeAmplicon v1.0: Python pipeline for analysis of amplicon data | Wijeratne S & Pavinato VAC. (2018, November 17). PypeAmplicon: Python pipeline for analysis of amplicon data (Version v1.0). Zenodo. doi: http://doi.org/10.5281/zenodo.1490421","['Sequencing', 'Genotype and phenotype', 'DNA polymorphism']",[],0.0,,https://bio.tools/pypeamplicon,160.0,112.0,140.8
syssvm2,1.000,"Pan-cancer detection of driver genes at the single-patient resolution.

sysSMV2 is a computational tool for patient-specific cancer driver gene prioritisation. It is based on the principle that driver genes are characterised by particular molecular properties (e.g. mutations, copy number variants) and systems-level properties (e.g. evolutionary origin, breadth of expression). It works by identifying genes with similar properties to canonical drivers, using a one-class Support Vector Machine framework1.

Users may also train their own sysSVM2 models.

Models that have been trained on data from TCGA are available to download from the appropriate directory. For smaller TCGA cohorts (N <200 samples), we recommend using the model trained on pan-cancer data.

To download sysSVM2, clone this repository. sysSVM2 is implemented in R. In this guide, we assume that the user's working directory corresponds to a clone of this repository.","['Genetics', 'Molecular interactions, pathways and networks', 'Oncology', 'Exome sequencing']",[],0.0,,https://bio.tools/syssvm2,160.0,112.0,140.8
fragfit,1.000,Guided modeling of missing segments such as loops or hinge regions into cryo-Electron Microscopy (cryo-EM) density maps [1]. Segments of up to 3-35 residues length can be effectively modeled into maps of different resolution.,"['Protein folds and structural domains', 'Imaging', 'Mapping']",['Web application'],0.0,,https://bio.tools/fragfit,160.0,112.0,140.8
immunopharmacology,1.000,"Extending immunopharmacology content and introducing the IUPHAR/MMV Guide to MALARIA PHARMACOLOGY.

IUPHAR Guide to IMMUNOPHARMACOLOGY.

The IUPHAR/BPS Guide to IMMUNOPHARMACOLOGY. Description.","['Immunology', 'Small molecules', 'Metabolomics', 'Pharmacology', 'Parasitology']",['Library'],0.0,,https://bio.tools/immunopharmacology,160.0,112.0,140.8
apparent,1.000,R package for accurate SNP-based parentage analysis in the absence of guiding information.,"['Genotype and phenotype', 'Agricultural science', 'DNA polymorphism']",['Library'],0.0,,https://bio.tools/apparent,160.0,112.0,140.8
pomegranate,1.000,"2D segmentation and 3D reconstruction for fission yeast and other radially symmetric cells.

Pomegranate is a nuclear and whole-cell detection, reconstruction, and 3D segmentation tool for static images of fission yeast.

See the Documentation folder for all user guides, tutorials and documentation. Included here are a quick start guide to get Pomegranate installed via the Hauf Lab update site, as well as the accompanying Pomegranate User Guide. The Pomegranate User Guide will contain a link to a repository containing samples images and outputs.","['Protein expression', 'Cell biology', 'Imaging', 'Model organisms']",[],0.0,,https://bio.tools/pomegranate,160.0,112.0,140.8
tcw,1.000,"analysis of single and comparative transcriptomes | Download TCW package: www.agcol.arizona.edu/software/tcw or from this site | Transcriptome Computational Workbench | AGCoL : TCW Home : Doc Index : singleTCW Guide : DE Guide : multiTCW Guide : Tour | Description: For single-transcriptome (singleTCW) - similarity search against annotation databases, GO annotation, ORF finding and differential analysis. For multi-transcriptome (multiTCW) - compute similar pairs, provide statistics for pairs, compute clusters, provide statistics for clusters. Both singleTCW and multiTCW provide graphical interfaces for extensive query and display of the results | TCW provides analysis and query for sequences (transcriptome, proteome), and comparison of species sequences. TCW uses Java, mySQL, optionally R, and various External packages. It has been tested on Linux and Mac","['Transcriptomics', 'Plant biology', 'RNA-Seq']",[],0.0,http://www.agcol.arizona.edu/software/tcw,https://bio.tools/tcw,160.0,112.0,140.8
impres,1.000,"Development, application, feasibility and preliminary evaluation of the implementation science research development (ImpRes) tool and guide | BACKGROUND:Designing implementation research can be a complex and daunting task, especially for applied health researchers who have not received specialist training in implementation science. We developed the Implementation Science Research Development (ImpRes) tool and supplementary guide to address this challenge and provide researchers with a systematic approach to designing implementation research. METHODS:A multi-method and multi-stage approach was employed. An international, multidisciplinary expert panel engaged in an iterative brainstorming and consensus-building process to generate core domains of the ImpRes tool, representing core implementation science principles and concepts that researchers should consider when designing implementation research","['Medicines research and development', 'Ontology and terminology', 'Psychiatry']",['Desktop application'],0.0,,https://bio.tools/impres,160.0,112.0,140.8
pscan,1.000,"Spatial scan tests guided by protein structures improve complex disease gene discovery and signal variant detection.

code to reproduce simulation studies presented in the PSCAN paper.

PSCAN Protein-structure-guided scan methods for gene-level association test and signal region detection.

Tang ZZ, Sliwoski GR, Chen G, Jin B, Bush WS, Li B, and Capra JA (2020). PSCAN: Spatial scan tests guided by protein structures improve complex disease gene discovery and signal variant detection. Genome Biology.

PSCAN package has the main PSCAN function that implements protein-structure-guided scan (PSCAN) methods for detecting gene-level associations and signal variants.","['Protein folding, stability and design', 'Pathology', 'Lipids', 'Gene transcripts', 'Protein folds and structural domains']",[],0.0,https://github.com/tangzheng1/PSCAN,https://bio.tools/pscan,160.0,112.0,140.8
pdegem,1.000,PDEGEM (Positional Dependent Energy Guided Expression Model ) is a robust nonlinear regression model to estimate the abundance of transcripts,"['RNA', 'RNA-seq']",['Command-line tool'],1.0,http://www.mybiosoftware.com/pdegem-modeling-non-uniform-read-distribution-in-rna-seq-data.html,https://bio.tools/pdegem,160.0,119.0,143.6
tg-lasso,1.000,"Tissue-guided LASSO for prediction of clinical drug response using preclinical samples.

Then, we developed a new algorithm called TG-LASSO (Tissue-Guided LASSO) that explicitly integrates information on samples’ tissue of origin with samples gene expression profiles to improve prediction performance (see figure below).

Cancer is one of the leading causes of death globally and is expected to be the most important obstacle in increasing the life expectancy in the 21st century.","['Oncology', 'Pharmacogenomics', 'Machine learning', 'Microarray experiment', 'Gene expression']",[],0.0,,https://bio.tools/tg-lasso,160.0,112.0,140.8
mosaik,1.000,Reference guided aligner/assembler.,"['Sequence assembly', 'Sequence analysis']",['Suite'],208.0,,https://bio.tools/mosaik,160.0,152.0,156.8
tangle,1.000,"TANGLE is a timespan-guided neural attention mechanism that can be used to integrate sequences of Medicare services and the time span between them to provide interpretable patients representations, which can be further used for some target prediction task.

Predictive capabilities of TANGLE are demonstrated here with an application on the 10% publicly available sample of deidentified, individual level, linked Medicare Benefits Schedule (MBS) and Pharmaceutical Benefits Scheme (PBS) electronic databases of Australia. Starting from sequences of MBS-items and timespans, TANGLE can predict which diabetic patient, currently on metformin only, is likely to be prescribed with a different type of diabetes controlling drug in the near future.","['Pathology', 'Machine learning', 'Sequence analysis']",[],0.0,,https://bio.tools/tangle,160.0,112.0,140.8
crispor,1.000,"Design, evaluate and clone guide sequences for the CRISPR/Cas9 system.","['Genetics', 'RNA', 'Genomics']",['Web application'],167.0,,https://bio.tools/crispor,160.0,151.0,156.4
sdm6a,1.000,"A Web-Based Integrative Machine-Learning Framework for Predicting 6mA Sites in the Rice Genome | Welcome to the Home Page of SDM6A | For the convenience of users, particularly for the vast majority of experimental scientists, a publicly accessible web-server for SDM6A has been established. Moreover, to maximize users' convenience, given below a step-by-step guide on how to use it to get the desired results without the need to through the above mathematical details","['Epigenetics', 'Machine learning', 'Mathematics']",[],0.0,,https://bio.tools/sdm6a,160.0,112.0,140.8
binosnp,1.000,"An R workflow for detection of low-frequency resistance-mediating SNPs in next-generation sequencing data of Mycobacterium tuberculosis complex strains with binoSNP.

Accurate drug resistance detection is key for guiding effective tuberculosis treatment. While genotypic resistance can be rapidly detected by molecular methods, their application is challenged by mixed mycobacterial populations comprising both susceptible and resistant cells (heteroresistance). For this, next-generation sequencing (NGS) based approaches promise the determination of variants even at low frequencies. However, accurate methods for a valid detection of low-frequency variants in NGS data are currently lacking. To tackle this problem, we developed the variant detection tool binoSNP which allows the determination of low-frequency single nucleotide polymorphisms (SNPs) in NGS datasets from Mycobacterium tuberculosis complex (MTBC) strains.","['Molecular biology', 'Genotype and phenotype', 'Microbiology', 'Sequencing', 'DNA polymorphism']",['Workflow'],0.0,,https://bio.tools/binosnp,160.0,112.0,140.8
genome-sketching,1.000,A practical guide to sketching algorithms for processing the flood of genomic data | online notebooks for a review of genome sketching,"['Metagenomics', 'Workflows', 'Computer science']",['Desktop application'],2.0,,https://bio.tools/genome-sketching,160.0,120.0,144.0
ntjoin,1.000,"Fast and lightweight assembly-guided scaffolding using minimizer graphs.

Scaffolding draft assemblies using reference assemblies and minimizer graphs.

ntJoin takes a target assembly and one or more 'reference' assembly as input, and uses information from the reference(s) to scaffold the target assembly. The 'reference' assemblies can be true reference assembly builds, or a different draft genome assemblies.","['Sequence assembly', 'Whole genome sequencing', 'Mapping']",['Command-line tool'],0.0,,https://bio.tools/ntjoin,160.0,112.0,140.8
sinimin,1.000,"Network-guided search for genetic heterogeneity between gene pairs.

This repository contains the code for the Significant Network Interval Mining approach, short SiNIMin, and its permutation-testing based counterpart SiNIMin-WY. The methods are described in Network-guided detection of candidate intervals that exhibit genetic heterogeneity (under review).","['Protein interactions', 'Statistics and probability', 'Protein interaction experiment', 'Genotype and phenotype', 'DNA polymorphism']",[],0.0,,https://bio.tools/sinimin,160.0,112.0,140.8
splinter,1.000,"This software provides tools to analyze alternative splicing sites, interpret outcomes based on sequence information, select and design primers for site validiation and give visual representation of the event to guide downstream experiments.","['Gene expression', 'RNA splicing', 'RNA-Seq', 'Data visualisation']","['Command-line tool', 'Library']",671.0,,https://bio.tools/splinter,160.0,160.0,160.0
panoromics,1.000,"The massive molecular profiling of thousands of cancer patients has led to the identification of many tumor type specific driver genes. However, only a few (or none) of them are present in each individual tumor and, to enable precision oncology, we need to interpret the alterations found in a single patient. Cancer PanorOmics (http://panoromics.irbbarcelona.org) is a web-based resource to contextualize genomic variations detected in a personal cancer genome within the body of clinical and scientific evidence available for 26 tumor types, offering complementary cohort and patient-centric views. Additionally, it explores the cellular environment of mutations by mapping them on the human interactome and providing quasiatomic structural details, whenever available. This ‘PanorOmic’ molecular view of individual tumors should contribute to the identification of actionable alterations ultimately guiding the clinical decision-making process.",[],[],0.0,,https://bio.tools/panoromics,160.0,112.0,140.8
cnorfeeder,1.000,This package integrates literature-constrained and data-driven methods to infer signalling networks from perturbation experiments. It permits to extends a given network with links derived from the data via various inference methods and uses information on physical interactions of proteins to guide and validate the integration of links.,"['Molecular interactions, pathways and networks']","['Command-line tool', 'Library']",24.0,,https://bio.tools/cnorfeeder,160.0,139.0,151.6
fmap,1.000,"Funnel-Metadynamics Advanced Protocol (FMAP), which is a flexible and user-friendly graphical user interface (GUI)-based protocol to perform funnel metadynamics, a binding free-energy method that employs a funnel-shape restraint potential to reveal the ligand binding mode and accurately calculate the absolute ligandâ€“protein binding free energy. FMAP guides the user through all phases of the free-energy calculation process, from preparation of the input files, to production simulation, to analysis of the results.","['Drug metabolism', 'Computational chemistry', 'Molecular dynamics', 'Small molecules', 'Transcription factors and regulatory sites']",['Desktop application'],0.0,,https://bio.tools/fmap,160.0,112.0,140.8
pisa-tree,1.000,"pISA-tree is a data management solution developed to contribute to the reproducibility of research and analyses. 
Hierarchical set of batch files is used to create standardized nested directory tree and associated files for research projects. It is in accordance with the ISA-tab framework (Investigation/Study/Assay) and fulfills minimal requirements of FAIR paradigm.
The tree structure can be generated on the fly, actively during project development and growth. pISA-tree can support small to moderate projects and is a step towards the FAIR data guiding principles. 

In addition, two related R packages were developed: pisar -- R support for pISA-tree and seekr -- R interface with the SEEK API. The latter connects the project folders with the externally maintained and developed open source web platform FAIRDOMHub for sharing scientific research assets.","['Data architecture, analysis and design', 'Bioinformatics', 'Experimental design and studies', 'Biology', 'Biomedical science', 'Data quality management', 'Data integration and warehousing']","['Command-line tool', 'Script', 'Desktop application']",0.0,https://github.com/NIB-SI/pISA,https://bio.tools/pisa-tree,160.0,112.0,140.8
quicknii,1.000,"Tool for user guided affine registration (anchoring) of 2D experimental image data, typically high resolution microscopic images, to 3D atlas reference space, facilitating data integration through standardized coordinate systems.","['Neurobiology', 'Medical imaging', 'MRI']",['Desktop application'],8.0,,https://bio.tools/quicknii,160.0,135.0,150.0
cnn-svr,1.000,CNN-SVR is a deep learning-based method for CRISPR/Cas9 guide RNA (gRNA) on-target cleavage efficacy prediction. It is composed of two major components: a merged CNN as the front-end for extracting gRNA and epigenetic features as well as an SVR as the back-end for regression and predicting gRNA cleavage efficiency.,"['Epigenetics', 'Machine learning', 'RNA', 'Sequencing']",['Script'],0.0,,https://bio.tools/cnn-svr,160.0,112.0,140.8
gtm,1.000,"Unblended Disjoint Tree Merging using GTM improves species tree estimation.

Abstract Phylogeny estimation is an important part of much biological research, but large-scale tree estimation is infeasible using standard methods due to computational issues. Recently, an approach to large-scale phylogeny has been proposed that divides a set of species into disjoint subsets, computes trees on the subsets, and then merges the trees together using a computed matrix of pairwise distances between the species. The novel component of these approaches is the last step: Disjoint Tree Merger (DTM) methods. We present GTM (Guide Tree Merger), a polynomial time DTM method that adds edges to connect the subset trees, so as to provably minimize the topological distance to a computed guide tree. Thus, GTM performs unblended mergers, unlike the previous DTM methods","['Phylogenomics', 'Phylogeny']",['Command-line tool'],0.0,,https://bio.tools/gtm,160.0,112.0,140.8
digger,1.000,Domain Interaction Graph Guided ExploreR (DIGGER) integrates protein-protein interactions and domain-domain interactions into a joint graph and maps interacting residues to exons. DIGGER allows the users to query exons or isoforms individually or as a set to visually explore their interactions.,"['Protein interactions', 'Proteomics', 'Sequence analysis', 'RNA splicing', 'Gene transcripts']",['Database portal'],0.0,https://github.com/louadi/RNA-Seq-DIGGER,https://bio.tools/digger,160.0,112.0,140.8
crisprsql,1.000,"crisprSQL is a SQL-based database for CRISPR/Cas9 off-target cleavage assays. It is a one-stop source for epigenetically annotated, base-pair resolved cleavage frequency distributions. This hand-curated dataset can act as an insight into state-of-the-art technologies driving transgenics, inform guide RNA design for genome engineering, and serve as a shared, transparent basis for modelling off-target DNA cleavage of CRISPR/Cas. Attached gene IDs make the high-resolution data usable for informing knockout screens, functional genomics and transcriptomics research.","['Epigenetics', 'Transcriptomics', 'RNA-Seq', 'Immunoproteins and antigens']",['Database portal'],0.0,,https://bio.tools/crisprsql,160.0,112.0,140.8
circle-map,1.000,"Sensitive detection of circular DNAs at single-nucleotide resolution using guided realignment of partially aligned reads.

A method for circular DNA detection based on probabilistic mapping of ultrashort reads.

Welcome to Circle-Map official repository!.

Circle-Map is an easy to install, python package that implements all the steps required to detect extrachromosomal DNA circles. The package contains easy to run algorithms for accurately detect circular DNA formed from mappable and non mappable regions of a genome.","['Mapping', 'Sequence assembly', 'Sequencing', 'DNA']",[],0.0,,https://bio.tools/circle-map,160.0,112.0,140.8
suspect-pza,1.000,Structure guided prediction of Pyrazinamide resistance mutations in pncA.,"['Genetic variation', 'Protein folding, stability and design', 'Small molecules', 'Personalised medicine', 'Molecular modelling']",[],0.0,,https://bio.tools/suspect-pza,160.0,112.0,140.8
metadata editor,1.000,FAIR metadata editor for guiding the user through the creation of FAIR Data Point metadata.,"['Data submission, annotation and curation']",['Web application'],0.0,,https://bio.tools/metadata editor,160.0,112.0,140.8
