Tool,Score,Description,URL,bio.tools URL
bibliome variant database,0.333,The Bibliome Variant Database is a collection of variants mined from open-access primary literature. All variants included in the database have been mapped to the human genome and are presented in a manner ordered by genomic location. The goal of this database is to provide a searchable structured resource listing variant-containing references.,,https://bio.tools/bibliome variant database
funmappone,0.333,User-friendly graphical interface that allows to visualize and summarize the functional annotations of one or multiple molecular biology experiments at once.,https://github.com/Greco-Lab/FunMappOne/issues,https://bio.tools/funmappone
combigor,0.333,Data-Analysis Package for Combinatorial Materials Science.,https://github.com/NREL/COMBIgor/,https://bio.tools/combigor
shinygo,0.333,ShinyGO is a graphical enrichment tool for animals and plants.,,https://bio.tools/shinygo
bel2abm,0.333,Agent-based simulation of static models in Biological Expression Language.,,https://bio.tools/bel2abm
edamisformat,0.333,Find EDAM ontology terms by is_format_of relation.,http://emboss.open-bio.org/html/adm/ch01s01.html,https://bio.tools/edamisformat
ontogetsibs,0.333,Get ontology term(s) by id with common parent.,http://emboss.open-bio.org/html/adm/ch01s01.html,https://bio.tools/ontogetsibs
seaweb,0.333,"the small RNA Expression Atlas web application.

Sign in with Google or with you SEA account below. If you have not created an account yet, then please register first.

If you have received an eMail from Oasis 2 that the classification or DE analysis results are downloadable, you can provide the given link here, in order to upload the output to this system and compare them with publically available datasets.

SEA (also SEAweb) is a searchable database for the expression of small RNA (miRNA, piRNA, snoRNA, snRNA, siRNA) and pathogens. Publically available sRNA sequencing datasets were analysed with Oasis 2 pipelines and the results are stored here for easy and comparable search. Our curated, ontology connected metadata enables powerful searches within this database. Learn more in the documentation and publication",,https://bio.tools/seaweb
gomapman,0.333,"GoMapMan is an open web-accessible resource for gene functional annotations in the plant sciences. It was developed to facilitate improvement, consolidation and visualization of gene annotations across several plant species.",,https://bio.tools/gomapman
nmrml converter,0.333,"This tool is used to support the nmrML data standard for nuclear magnetic resonance raw data in metabolomics. It converts native Bruker, Jeol and Agilent vendor formats into the open access nmrML data standard that is used by an ever-so growing number of small molecule NMR repositories.",https://github.com/nmrML/nmrML/tree/master/tools/Parser_and_Converters/Java,https://bio.tools/nmrml converter
pyiomica,0.333,"Longitudinal Omics Analysis and Trend Identification.

This repository contains PyIOmica, a Python package that provides bioinformatics utilities for analyzing (dynamic) omics datasets. PyIOmica extends MathIOmica usage to Python and implements new visualizations and computational tools for graph analyses. The documentation is available at Read the Docs: https://pyiomica.readthedocs.io/en/latest/.

Welcome to PyIOmica’s documentation! — pyiomica 1.1.2 documentation.

Free document hosting provided by Read the Docs",,https://bio.tools/pyiomica
mvgst,0.333,"Platform-independent tools to identify GO terms that are differentially active in multiple contrasts of interest. Given a matrix of one-sided p-values, it uses meta-analytic methods to combine p-values for all genes annotated to each gene set, and then classify them as significantly more active, less active, or not significantly differentially active in each contrast of interest. With multiple contrasts of interest, each gene set is assigned to a profile of differential activity.",,https://bio.tools/mvgst
gonuts,0.333,Third-party documentation for new users of GO.,,https://bio.tools/gonuts
genosurf,0.333,metadata driven semantic search system for integrated genomic datasets.,http://www.bioinformatics.deib.polimi.it/genosurf/dump/,https://bio.tools/genosurf
soba: sequence ontology bioinformatics analysis,0.333,Provides a simple statistical and graphical summary of an annotated genome. To be used by annotators and for genome comparison.,,https://bio.tools/soba: sequence ontology bioinformatics analysis
pogos,0.333,"Provide simple utilities for querying bhklab PharmacoDB, modeling API outputs, and integrating to cell and compound ontologies.",http://bioconductor.org/packages/pogos/,https://bio.tools/pogos
flyode,0.333,"Systematic assembly of data on Drosophila melanogaster eye development. It consists of data on eye development obtained from the literature, and a web interface for users to interactively display these data as a gene regulatory network.",https://github.com/begum-alaybeyoglu/FlyOde,https://bio.tools/flyode
deeppvp,0.333,Phenotype-based variant prioritization method that combined automated inference with deep neural networks to identify the likely causative variants in whole exome or whole genome sequence data.,,https://bio.tools/deeppvp
pdzpepint,0.333,"It is a cluster based prediction tool to predict binding peptides of PDZ domains in human, mouse, fly and worm. Peptides are represented as 5 C-terminal sequences of binding proteins. Depending on the user requirement Gene Ontology database can be used for getting reliable interactions. Additionally, it will also consider the C-terminal peptides that are intrinsically unstructured for getting high confidence interactions.",http://www.mybiosoftware.com/pdzpepint-1-0-0-pdz-peptide-interaction-prediction.html,https://bio.tools/pdzpepint
goeast,0.333,"Gene Ontology Enrichment Analysis (GOEAST) is a toolkit for the identification of over-represented GO terms in a given gene set. Distinguishing features include: capacity to analyze data from various sources and from multiple species, and the capacity to cross compare GO enriched terms across experiments to identify correlations.",,https://bio.tools/goeast
gosemsim,0.333,"The semantic comparisons of Gene Ontology (GO) annotations provide quantitative ways to compute similarities between genes and gene groups, and have became an important basis for many bioinformatics analysis approaches. This R package analyzes the semantic similarity computation among GO terms, sets of GO terms, gene products and gene clusters.",https://guangchuangyu.github.io/GOSemSim,https://bio.tools/gosemsim
genex_ontology,0.333,"Enabling semantic queries across federated bioinformatics databases.

Ontology Documentation generated by WIDOCO.

Gene expression (GenEx) semantic model.",,https://bio.tools/genex_ontology
fontcell,0.333,A Python package automatic computed fusion of ontologies.,https://pypi.org/project/fontcell/,https://bio.tools/fontcell
fasto,0.333,FHIR And SSN based Type 1 diabetes Ontology (FASTO) is an OWL 2 ontology for real time management of insulin for diabetes patients especially type 1 diabetics.,,https://bio.tools/fasto
mouse phenome database,0.333,"A data repository and analysis suite for curated primary mouse phenotype data.

Available genotype resources and tools.

RESTful API for getting data and metadata.

Already have an account? Sign In.

...an integrated resource to explore physiology",https://phenome.jax.org/genotypes,https://bio.tools/mouse phenome database
hatk,0.333,"HATK(HLA Analysis Tool-Kit) is a collection of tools and modules to perform HLA fine-mapping analysis, which is to identify which HLA allele or amino acid position of the HLA gene is driving the disease. HLA fine-mapping analysis is an indispensable analysis in studies of autoimmune diseases.",,https://bio.tools/hatk
response,0.333,"Framework for Enforcing Risk-Aware Security Policies in Constrained Dynamic Environments.

Multi-criteria decision making algorithm based on TOPSIS.",,https://bio.tools/response
pyradiomics,0.333,PyRadiomics is an ontology-guided radiomics analysis workflow (O-RAW).,,https://bio.tools/pyradiomics
genease,0.333,"Real time bioinformatics tool for multi-omics and disease ontology exploration, analysis and visualization.",,https://bio.tools/genease
hgv_linktogprofile,0.333,"This tool creates a link to the g:GOSt tool (Gene Group Functional Profiling), which provides functional profiling of gene lists.",https://galaxy.pasteur.fr/tool_runner?tool_id=hgv_linkToGProfile,https://bio.tools/hgv_linktogprofile
hio,0.333,"A Tool for Unifying Hearing Impairment Knowledge to Enhance Collaborative Research.

The Hearing Impairment Ontology (HIO) is a collaboratively developed resource by a group of experts in different aspects of hearing impairment (HI) to provide a common controlled HI terminology and concepts. The HIO will allow researchers and clinicians alike to readily access standardised HI-related knowledge in a single location and promote collaborations and HI information sharing, including epidemiological, socio-environmental, biomedical, genetic and phenotypic information. It is worth noting, this ontology provides an illustration of the adaptability of the Sickle Cell Disease Ontology framework for use in developing a disease-specific ontology.",https://github.com/hiodev/hi-ontology,https://bio.tools/hio
hyper,0.333,An R Package for Geneset Enrichment Workflows | Please visit https://montilab.github.io/hypeR-docs/ | hypeR currently requires the latest version of R (>= 3.6.0) to be installed directly from Github or Bioconductor. To install with R (>= 3.5.0) see below. Use with R (< 3.5.0) is not recommended,,https://bio.tools/hyper
topgo,0.333,Package that provides tools for enrichment analysis for Gene Ontology (GO) terms. Different test statistics and different methods for eliminating local similarities and dependencies between GO terms can be implemented and applied.,,https://bio.tools/topgo
mtgo-sc,0.333,"Tool to Explore Gene Modules in Single-Cell RNA Sequencing Data.

MTGO applied to Single Cell analysis.

MTGO analysis applied to Single Cell data version 0.2.0 from GitHub.

MTGO-SC is an adaptation for single cell RNA-sequencing (scRNA-seq) of MTGO, a biological network module detection algorithm. MTGO-SC integrates external gene annotations, such as the Gene Ontology terms or Reactome pathways with the gene expression networks obtained from single-cell DGE matrices.

This package integrates MTGO (Module detection via Topological information and Gene Ontology (GO) knowledge) to single cell analysis. Effort is made to seamless integration of Seurat results, together with visualization and filtering functions.

ne1s0n/MTGOsc: MTGO analysis applied to Single Cell data.

Extracting gene modules from single cell RNA-seq cell clusters",https://rdrr.io/github/ne1s0n/MTGOsc/,https://bio.tools/mtgo-sc
plantcircnet,0.333,"PlantCircNet is a database that provides plant circRNA-miRNA-gene regulatory networks, as well as circRNA information and circRNA expression profiles. It provides convenient search functions for circRNA-associated regulatory networks and enables users to retrieve regulatory interactions of interest by circRNAs, miRNAs and mRNAs across eight model species. Sequences search is also available. And an enrichment analysis tool has been provided for Gene Ontology categories of miRNA targets.",,https://bio.tools/plantcircnet
genvisage,0.333,"Rapid Identification of Discriminative and Explainable Feature Pairs for Genomic Analysis.

Genvisage - Rapid Identification of Discriminative Feature Pairs for Genomic Analysis.",https://github.com/KnowEnG/Genvisage,https://bio.tools/genvisage
l2l,0.333,"L2L is a simple but powerful tool for discovering the hidden biological significance in microarray data. Through an easy-to-use web interface, L2L will mine a list of up- or down-regulated genes for Gene Ontology terms that are significantly enriched. L2L can also compare the list of genes to a database of hundreds of published microarray experiments, in order to identify common patterns of gene regulation. A downloadable command-line version can run customized and batch analyses.",http://www.mybiosoftware.com/l2l-1-2-microarray-analysis-tool.html,https://bio.tools/l2l
ontogetup,0.333,Get ontology term(s) by id of child.,http://emboss.open-bio.org/html/adm/ch01s01.html,https://bio.tools/ontogetup
biogateway,0.333,"A triple store with RDF graphs obtained from various curated databases, queryable by SPARQL and through the Cytoscape plugin BioGateway App.",,https://bio.tools/biogateway
sinopedia,0.333,"Linked Data Services platform for decentralized knowledge base | LodView is a powerful RDF viewer, IRI dereferencer and opensource SPARQL navigator | It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout. The point of using Lorem Ipsum is that it has a more-or-less normal distribution of letters, as opposed to using 'Content here, content here', making it look like readable English | Lorem Ipsum is simply dummy text of the printing and typesetting industry",,https://bio.tools/sinopedia
arpir,0.333,"ARPIR (Automatic RNA-Seq Pipelines with Interactive Report) performs RNA-Seq analysis: quality control, pre-processing, alignment (primary-analysis), transcript quantification and differential expression analysis on BAM files (secondaty-analysis).",,https://bio.tools/arpir
romop,0.333,"a light-weight R package for interfacing with OMOP-formatted electronic health record data.

R package to easily interface with OMOP-formatted EHR data.

ROMOP, please wait... This may take a minute or two.

Launching ROMOP, please wait... This may take a minute or two. ...

ROMOP is a flexible R package to interface with the Observational Health Data Sciences and Informatics (OHDSI) OMOP Common Data Model. Briefly, OMOP is a standardized relational database schema for Electronic Health Record (EHR) or Electronic Medical Record (EMR) data (i.e., patient data collected during clinical visits to a health system). The main benefit of a standardized schema is that it allows for interoperability between institutions, even if the underlying EHR vendors are disparate.

Benjamin S. Glicksberg 9/14/2018",http://github.com/BenGlicksberg/ROMOP,https://bio.tools/romop
human gene nomenclature database (hgnc),0.333,Database of unique and meaningful names for all human genes.,,https://bio.tools/human gene nomenclature database (hgnc)
inaturalist,0.333,Methods for broad-scale plant phenology assessments using citizen scientists’ photographs | iNaturalist.org is a joint initiative of the California Academy of Sciences and the National Geographic Society | Explore and share your observations from the natural world,,https://bio.tools/inaturalist
go2msig,0.333,"GO2MSIG generates collections of gene sets in MSigDB format based on the Gene Ontology (GO) project hierarchy and gene association data, for use with the Gene Set Enrichment Analysis (GSEA) implementation available at the Broad Institute. This enables rapid creation of gene set collections for multiple species.",http://www.mybiosoftware.com/go2msig-20120814-based-gsea-gene-set-generator.html,https://bio.tools/go2msig
hipathia,0.333,Hipathia is a method for the computation of signal transduction along signaling pathways from transcriptomic data. The method is based on an iterative algorithm which is able to compute the signal intensity passing through the nodes of a network by taking into account the level of expression of each gene and the intensity of the signal arriving to it. It also provides a new approach to functional analysis allowing to compute the signal arriving to the functions annotated to each pathway.,http://bioconductor.org/packages/hipathia/,https://bio.tools/hipathia
ontogetcommon,0.333,Get common ancestor for terms.,http://emboss.open-bio.org/html/adm/ch01s01.html,https://bio.tools/ontogetcommon
aristo,0.333,Web tool which provides information regarding the chemical nature/ontology of the compound underlying an input electron ionization mass spectrum.,,https://bio.tools/aristo
dcgor,0.333,An R Package for Analysing Ontologies and Protein Domain Annotations.,,https://bio.tools/dcgor
pcosbase,0.333,"A manually curated database of polycystic ovarian syndrome.

Nor Afiqah-Aleng, Sarahani Harun, Mohd Rusman Arief A-Rahman, Nor Azlan Nor Muhammad, Zeti-Azura Mohamed-Hussein, PCOSBase: a manually curated database of polycystic ovarian syndrome, Database, Volume 2017, 2017, bax098",,https://bio.tools/pcosbase
genodraw,0.333,"A Web Tool for Developing Pedigree Diagrams Using the Standardized Human Pedigree Nomenclature Integrated with Biomedical Vocabularies.

The integration of genetic information in current clinical routine has raised a need for tools to exploit family genetic knowledge. On the clinical side, an application for managing and visualizing pedigree diagrams could provide genetics specialists with an integrated environment with potential positive impact on their current practice.",,https://bio.tools/genodraw
maxent-ppi,0.333,Evaluation of ontology annotation for protein-protein interactions using Maximum Entropy.,,https://bio.tools/maxent-ppi
gsvec,0.333,"Comprehensive biological interpretation of gene signatures using semantic distributed representation.

GsVec (Gene signature Vector) is an analysis method that supports the biological interpretation of Gene signature obtained by gene expression analysis of Bioinformatics. The association between the gene signature to be interpreted and the gene signature of the Pathway / Gene Ontology data base is performed by natural language processing",,https://bio.tools/gsvec
bio-answerfinder,0.333,A system to find answers to questions from biomedical texts. The system is configured by a configuration file.,https://github.com/SciCrunch/bio-answerfinder,https://bio.tools/bio-answerfinder
generic go term finder,0.333,A tool for finding significant GO terms shared among a list of genes from your organism of choice.,,https://bio.tools/generic go term finder
edamhasinput,0.333,Find EDAM ontology terms by has_input relation.,http://emboss.open-bio.org/html/adm/ch01s01.html,https://bio.tools/edamhasinput
sparql,0.333,A hands-on introduction to querying evolutionary relationships across multiple data sources using SPARQL.,http://mbgd.genome.ad.jp/sparql/,https://bio.tools/sparql
genfam,0.333,"A web application and database for gene family-based classification and functional enrichment analysis.

Genome-scale studies using high-throughput sequencing (HTS) technologies generate substantial lists of differentially expressed genes under different experimental conditions. These gene lists need to be further mined to narrow down biologically relevant genes and associated functions in order to guide downstream functional genetic analyses. A popular approach is to determine statistically overrepresented genes in a user-defined list through enrichment analysis tools, which rely on functional annotations of genes based on Gene Ontology (GO) terms. Here, we propose a new computational approach, GenFam, which allows annotation, classification, and enrichment of genes based on their gene family, thus simplifying identification of candidate gene families and associated genes that may be relevant to the query.",https://reneshbedre.github.io/blog/genfam.html,https://bio.tools/genfam
spex2,0.333,"An automatic system for embryonic ISH image processing, which can extract, transform, compare, classify and cluster spatial gene expression patterns in Drosophila embryos.",http://www.mybiosoftware.com/spex2-automated-concise-extraction-spatial-gene-expression-patterns-fly-embryo-ish-image.html,https://bio.tools/spex2
europhenome,0.333,This project provides access to raw and annotated mouse phenotyping data generated from primary pipelines such as EMPReSSlim and secondary procedures from specialist centres. Mutants of interest can be identified by searching the gene or the predicted phenotype.,,https://bio.tools/europhenome
semantic body browser,0.267,A web application for intuitively exploring the body of an organism from the organ to the sub-cellular level and visualising expression profiles by means of semantically annotated illustrations. It is used to comprehend biological and medical data related to the different body structures while relying on the strong pattern recognition capabilities of human users.,http://www.mybiosoftware.com/semantic-body-browser-1-5-1-graphically-exploring-an-organisms-body.html,https://bio.tools/semantic body browser
sapp,0.267,"SAPP is a Semantic Annotation Platform with Provenance and is designed on the basis of Semantic Web and is FAIR by design. The platform and corresponding modules allows you to annotate genomes of various qualities with the full chain of provenance. Resulting is a RDF genome data model which you can query and analyse using SPARQL. Various modules are available which allows you to annotate, visualise and export to various formats.",http://sapp.gitlab.io,https://bio.tools/sapp
phaedra,0.267,"semantically annotated corpus for pharmacovigilence (PV), consisting of 597 MEDLINE abstracts. Its fine-grained, multiple levels of annotation, added by domain-experts, make it a unique resource within the field, and aim to encourage the development/adaption of novel machine learning tools for extracting PV-related information from text.",,https://bio.tools/phaedra
litinspector,0.250,"A literature search tool providing gene homonym mining within the PubMed database. Search terms are highlighted in the results. It also performs signal transduction pathway mining using a manually curated database of pathway names, pathway components and pathway keywords.",,https://bio.tools/litinspector
etm-db,0.250,"Iintegrated Ethiopian traditional herbal medicine and phytochemicals database | ETM-DB is a free, online relational database containing Ethiopian herbal medicine, related compounds and target gene/proteins. Ethiopia is endowed with an affluence of botanical remedies that have proven useful over a long time, especially in the rural areas where modern health care is much less accessible. It is estimated that about 80% of the Ethiopian population, predominantly in the rural areas, use traditional medicine. There are about 6,500-7,500 plant species in Ethiopia, of which an estimated 12% are endemic to Ethiopia",,https://bio.tools/etm-db
dquest,0.250,DQueST is a web applciation for reducing information overload for trial seekers using dynamic questionnaires.,https://github.com/stormliucong/dquest-flask/issues,https://bio.tools/dquest
neuropp,0.250,Tool for the prediction of neuropeptide precursors based on optimal sequence composition.,,https://bio.tools/neuropp
dbcrid,0.250,"A database of Chromosomal Rearrangements In Diseases (dbCRID, http://dbCRID.biolead.org) is a database of human CR events and their associated diseases. For each reported CR event, dbCRID documents the type of the event, the disease or symptoms associated, and--when possible--detailed information about the CR event including precise breakpoint positions, junction sequences, genes and gene regions disrupted and experimental techniques applied to discover/analyze the CR event.",,https://bio.tools/dbcrid
pedl,0.250,PEDL is a method for predicting protein-protein assocations from text. extracting protein-protein associations using deep language models and distant supervision.,,https://bio.tools/pedl
bagel2,0.250,"BAGEL2 (BActeriocin GEnome mining tooL) identifies putative bacteriocins on the basis of conserved domains, physical properties and genomic context. Improved genome mining capacity from BAGEL.",,https://bio.tools/bagel2
simconcept,0.250,A hybrid approach by integrating a machine learning model  with a pattern identification strategy to identify individual mentions from a composite named entity.,http://www.mybiosoftware.com/simconcept-hybrid-approach-for-simplifying-composite-named-entities-in-biomedical-text.html,https://bio.tools/simconcept
eventepi,0.250,EventEpi - A Natural Language Processing Framework for Event-Based Surveillance  - is a tool to extract the most important entites from a epidemiological text and to analyze them.,,https://bio.tools/eventepi
digchem,0.250,Identification of disease-gene-chemical relationships from Medline abstracts.,,https://bio.tools/digchem
gemtractor,0.250,"Extracting Views into Genome-scale Metabolic Models.

The GEMtractor a platform for trimming and extracting genome-scale metabolic models (GEMs).",http://github.com/binfalse/GEMtractor,https://bio.tools/gemtractor
iambee,0.250,Identification of Adaptive Mutations in Bacterial Evolution Experiments (IAMBEE) - web server designed for network-based genotype-phenotype mapping of clonal populations that display the same focal phenotype.,,https://bio.tools/iambee
medextractr,0.250,"A medication extraction algorithm for electronic health records using the R programming language | Objective: We developed medExtractR, a natural language processing system to extract medication dose and timing information from clinical notes. Our system facilitates creation of medication-specific research datasets from electronic health records. Materials and Methods: Written using the R programming language, medExtractR combines lexicon dictionaries and regular expression patterns to identify relevant medication information ('drug entities'). The system is designed to extract particular medications of interest, rather than all possible medications mentioned in a clinical note. MedExtractR was developed on notes from Vanderbilt University's Synthetic Derivative, using two medications (tacrolimus and lamotrigine) prescribed with varying complexity, and with a third drug (allopurinol) used for testing generalizability of results",,https://bio.tools/medextractr
kccg patient archive,0.250,"A platform developed by Kinghorn Center of Clinical Genomics (KCCG) for managing, sharing and discussing patient cases (clinical and genomic information).",,https://bio.tools/kccg patient archive
evntextrc,0.250,"EvntExtrc is a biological event extractor on biomedical literature |
Context awareness and embedding for biomedical event extraction",,https://bio.tools/evntextrc
bioconceptvec,0.250,BioConceptVec is a collection of concept embeddings on primary biological concepts mentioned in the biomedical literature.,,https://bio.tools/bioconceptvec
pangaea,0.250,"A modular and extensible collection of tools for mining context-dependent gene relationships from the biomedical literature.

The tool extracts gene relations from PubMed abstracts and outputs the results in both CSV and JSON format.",,https://bio.tools/pangaea
bittersweet,0.250,Building machine learning models for predicting the bitter and sweet taste of small molecules.,https://github.com/cosylabiiit/bittersweet/,https://bio.tools/bittersweet
pure,0.250,"This tool is a PubMed article recommendation system based on content-based filtering, based on preferred articles.",http://www.mybiosoftware.com/pure-pubmed-article-recommendation-system-based-content-based-filtering.html,https://bio.tools/pure
ripplenet,0.250,"A Recurrent Neural Network for Sharp Wave Ripple (SPW-R) Detection.

This repository contains files for RippleNet, a recurrent neural network with LSTM layers for detecting sharp-wave ripples in single-channel LFP signals measured in hippocampus CA1.",,https://bio.tools/ripplenet
biocaddie,0.250,"Leveraging word embeddings and medical entity extraction for biomedical dataset retrieval using unstructured texts.

Mayo's Data for the bioCADDIE 2016 Dataset Retrieval Challenge",,https://bio.tools/biocaddie
vist,0.250,a Variant-Information Search Tool for precision oncology | The Variant Information Search Tool developed @ WBI,,https://bio.tools/vist
beere,0.250,"Tool for Biomedical Entity Expansion, Ranking, and Exploration.",,https://bio.tools/beere
gimli,0.250,Open source and high-performance biomedical name recognition.,,https://bio.tools/gimli
gedex,0.250,"A consensus Gene-disease Event Extraction System based on frequency patterns and supervised learning.

Abstract Motivation The genetic mechanisms involved in human diseases are fundamental in biomedical research. Several databases with curated associations between genes and diseases have emerged in the last decades. Although, due to the demanding and time consuming nature of manual curation of literature, they still lack large amounts of information. Current automatic approaches extract associations by considering each abstract or sentence independently. This approach could potentially lead to contradictions between individual cases. Therefore, there is a current need for automatic strategies that can provide a literature consensus of gene-disease associations, and are not prone to making contradictory predictions",,https://bio.tools/gedex
cocitestats,0.250,A collection of software tools for dealing with co-citation data.,,https://bio.tools/cocitestats
sbpks2,0.250,Structure-based genome mining and analysis of polyketide and non-ribosomal peptide biosynthetic pathways in chemical space.,,https://bio.tools/sbpks2
drar-cpi,0.250,DRAR-CPI is a web server for the identification of drug repositioning and adverse drug reactions using mining of a chemical-protein interactome.,,https://bio.tools/drar-cpi
cui2vec,0.250,"A R pacakge cui2vec, which provides code for fitting embeddings to your own co-occurrence data.",https://github.com/beamandrew/cui2vec/issues,https://bio.tools/cui2vec
digsee,0.250,Web server for understanding the association between diseases and genes. This cancer version searches Medline abstracts for evidence sentences describing the genes involved in the development of cancer through biological events.,,https://bio.tools/digsee
crispy,0.250,Highly efficient DSB-free base editing for streptomycetes with CRISPR-BEST | CRISPy-web now detects potential amino acid changes introducable by CRISPR-BEST,,https://bio.tools/crispy
mechspy,0.233,"Applying knowledge-driven mechanistic inference to toxicogenomics | Mechanistic inference of toxicity from gene expression time series and knowledge graphs | Mechanistic inference for toxicology | This repository provide the code for the publication ""Applying knowledge-driven mechanistic inference to toxicogenomics"" (DOI: xxxxxxxxxxxx) and contains the collection of scripts to reproduce the results obtained. Besides the code, this repository provides: | $ git clone git@github.com:ignaciot/MechSpy.git | You can add new mechanisms of your own to MechSpy by editing mechanisms.py. A mock, commented-out ""M12"" mechanism was added to illustrate where would new mechanisms need to go",,https://bio.tools/mechspy
drug targets,0.233,A database protal for drug target predictions based knowledge graph embeddings.,,https://bio.tools/drug targets
aloha,0.233,"> MEDIUM CONFIDENCE! | > HOMEPAGE MISSING! | developing an interactive graph-based visualization for dietary supplement knowledge graph through user-centered design | BACKGROUND:Dietary supplements (DSs) are widely used. However, consumers know little about the safety and efficacy of DSs. There is a growing interest in accessing health information online; however, health information, especially online information on DSs, is scattered with varying levels of quality. In our previous work, we prototyped a web application, ALOHA, with interactive graph-based visualization to facilitate consumers' browsing of the integrated DIetary Supplement Knowledge base (iDISK) curated from scientific resources, following an iterative user-centered design (UCD) process. METHODS:Following UCD principles, we carried out two design iterations to enrich the functionalities of ALOHA and enhance its usability",,https://bio.tools/aloha
linkphinder,0.233,"Accurate Prediction of Kinase-Substrate Networks Using Knowledge Graphs.

Abstract Phosphorylation of specific substrates by protein kinases is a key control mechanism for vital cell-fate decisions and other cellular processes. However, discovering specific kinase-substrate relationships is timeconsuming and often rather serendipitous. Computational predictions alleviate these challenges, but the current approaches suffer from limitations like restricted kinome coverage and inaccuracy. They also typically utilise only local features without reflecting broader interaction context. To address these limitations, we have developed an alternative predictive model.",,https://bio.tools/linkphinder
covid-19 knetminer,0.233,"Visualises linked human biological data related to SARS-CoV-2 in the form of a knowledge graph, using a range of publicly available data. Includes gene, protein, gene ontology, reaction, pathway, homology, protein domain, phenotype/disease, and GWAS data and the interactions between them. KnetMiner scores and ranks genes to give the most relevant results relating to your query search.",https://github.com/Rothamsted/covid19-kg/blob/master/RawDataEndPoints.md,https://bio.tools/covid-19 knetminer
robokop,0.233,"An Abstraction Layer and User Interface for Knowledge Graphs to Support Question Answering | ROBOKOP is a tool for reasoning over structured biomedical knowledge databases as part of the NCATS translator and reasoner programs. The ROBOKOP system consists of a web based user interface, an API server, and several worker servers. The code is separated into three separate repositories",http://robokopkg.renci.org,https://bio.tools/robokop
pybravo,0.233,"From a list of genes, pyBRAvo produces upstream regulation or signaling networks. pyBRAvo internally leverages the BioPAX ontolgy, the PathwayCommons knowledge graph, and the SPARQL semantic web query language. pyBRAvo can be used through either a Jupyter notebook, or a command line interface.",https://github.com/pyBRAvo/pyBRAvo,https://bio.tools/pybravo
robokop kg,0.233,ROBOKOP KG is an Integrated Knowledge Graphs from Federated Sources.,http://robokop.renci.org,https://bio.tools/robokop kg
samsa2,0.167,"Version 2 of the SAMSA pipeline - faster! Lighter! More options! Less waiting!
It is a rapid and efficient metatranscriptome pipeline for analyzing large RNA-seq datasets in a supercomputing cluster environment. It provides simplified output that can be examined directly or used for further analyses, and its reference databases may be upgraded, altered or customized to fit the needs of any experiment.",https://github.com/transcript/samsa2,https://bio.tools/samsa2
diana-lncbase,0.167,"Incorporates an extensive collection of miRNA:lncRNA interactions. The database includes more than 70,000 low and high-throughput, (in)direct miRNA:lncRNA experimentally supported interactions, derived from manually curated publications and the analysis of 153 AGO CLIP-Seq libraries. LncBase v2 hosts in silico predicted miRNA targets on lncRNAs, identified with the DIANA-microT algorithm.",,https://bio.tools/diana-lncbase
phenominer,0.167,Database of phenotypes extracted from the scientific literature using text mining.,,https://bio.tools/phenominer
aceparser,0.167,AceParser: Parse an Ace file (Phred/Phrap output) into a tab-delimited assembly alignment file. Options to include embedded annotation from multiple sources.,http://www.mybiosoftware.com/aceparser-1-33-parse-ace-file-phredphrap-output-tab-delimited-assembly-alignment-file.html,https://bio.tools/aceparser
gdsarray,0.167,"GDS files are widely used to represent genotyping or sequence data. The GDSArray package implements the `GDSArray` class to represent nodes in GDS files in a matrix-like representation that allows easy manipulation (e.g., subsetting, mathematical transformation) in _R_. The data remains on disk until needed, so that very large files can be processed.",https://github.com/Bioconductor/GDSArray,https://bio.tools/gdsarray
evex,0.167,A text mining resource built on top of PubMed abstracts and PubMed Central full texts.,,https://bio.tools/evex
nutrichem,0.167,"Database generated by text mining of 21 million MEDLINE abstracts, with information that links plant-based foods with their small molecule components and human disease phenotypes.",http://www.cbs.dtu.dk/services,https://bio.tools/nutrichem
ddbj,0.167,"Nucleotide sequence archive database and accompanying database tools for sequence submission, entry retrieval and annotation analysis. A new archive for quantitative genomics data, the DDBJ Omics aRchive (DOR). The DOR stores quantitative data both from the microarray and high-throughput new sequencing platforms. Other improvements include improved content of the patent sequence, released a new submission tool of the Sequence Read Archive (DRA) and the Read Annotation Pipeline.",,https://bio.tools/ddbj
ril-contour,0.167,Medical Imaging Dataset Annotation Tool for and with Deep Learning.,https://gitlab.com/Philbrick/rilcontour/issues,https://bio.tools/ril-contour
biokc,0.167,"BioKC platform is in constant development and its roadmap foresees support for defining and annotation of complexes, and handling of SBML extensions such as the Multistate and Multicomponent species package.",,https://bio.tools/biokc
webanno,0.167,"WebAnno is a general purpose web-based annotation tool for a wide range of linguistic annotations including various layers of morphological, syntactical, and semantic annotations.Additionaly, custom annotation layers can be defined, allowing WebAnno to be used also for non-linguistic annotation tasks.",https://github.com/webanno/webanno/issues/923,https://bio.tools/webanno
disqover,0.167,"DISQOVER is a data integration platform for public, licensed and internal data. The Data Ingestion Engine enables transforming data into Linked Data which can be searched, navigated and analysed via the user interface and the API. The publicly accessible DISQOVER platform contains 140+ public data sources in life sciences and related domains.",,https://bio.tools/disqover
odg,0.167,"Tool for generating, querying, and analyzing multi-omics comparative databases to facilitate biological understanding.",,https://bio.tools/odg
