Tool,keywords_score,Description,Topics,Operations,Inputs,Outputs,Type,Citations,URL,biotoolsID,License,keyword_rank,citations_rank,comp_score
CEDAR OnDemand,0.250,It is a chrome browser extension that enables users to seamlessly enter ontology-based metadata using existing web-based submission forms provided by metadata repositories. The use of controlled vocabularies for entering metadata can help improve the quality of metadata submitted to repositories and ultimately contributes to the creation of FAIR data.,['Ontology and terminology'],['Data handling'],[],[],['Plug-in'],4.0,https://github.com/ahmadchan/CEDAROnDemand,cedar_ondemand,GPL-1.0,554.0,354.0,474.0
SPARQL,0.250,A hands-on introduction to querying evolutionary relationships across multiple data sources using SPARQL.,"['Bioinformatics', 'Model organisms', 'Ontology and terminology']","['Database search', 'Data retrieval', 'Clustering']",[],[],[],0.0,http://mbgd.genome.ad.jp/sparql/,SPARQL,,554.0,225.0,422.4
ToolDog,0.250,This tool aims to generate XML template for Galaxy or CWL from the description of tools from the bio.tools registry.,"['Bioinformatics', 'Ontology and terminology']",['Formatting'],[],"[{'data': {'term': 'data', 'uri': 'http://edamontology.org/data_0006'}, 'format': {'term': 'yaml', 'uri': 'http://edamontology.org/format_3750'}}]",['Command-line tool'],5.0,https://github.com/bio-tools/ToolDog,tooldog,MIT,554.0,364.0,478.0
edamdef,0.250,Find EDAM ontology terms by definition.,['Ontology and terminology'],['Data retrieval'],[],"[{'data': {'term': 'ontology metadata', 'uri': 'http://edamontology.org/data_2223'}}]",['Command-line tool'],5623.0,http://emboss.open-bio.org/html/adm/ch01s01.html,edamdef,GPL-3.0,554.0,643.0,589.5999999999999
ROMOP,0.250,"a light-weight R package for interfacing with OMOP-formatted electronic health record data.

R package to easily interface with OMOP-formatted EHR data.

ROMOP, please wait... This may take a minute or two.

Launching ROMOP, please wait... This may take a minute or two. ...

ROMOP is a flexible R package to interface with the Observational Health Data Sciences and Informatics (OHDSI) OMOP Common Data Model. Briefly, OMOP is a standardized relational database schema for Electronic Health Record (EHR) or Electronic Medical Record (EMR) data (i.e., patient data collected during clinical visits to a health system). The main benefit of a standardized schema is that it allows for interoperability between institutions, even if the underlying EHR vendors are disparate.

Benjamin S. Glicksberg 9/14/2018","['Database management', 'Medical informatics', 'Model organisms', 'Medicine', 'Ontology and terminology']","['Database search', 'Data retrieval', 'Standardisation and normalisation']",[],[],[],0.0,http://github.com/BenGlicksberg/ROMOP,ROMOP,MIT,554.0,225.0,422.4
LipidLynxX,0.250,"A data transfer hub to support integration of large scale lipidomics datasets.

The LipidLynxX project is aimed to provide a unified identifier for major lipids, especially oxidized lipids in the epilipidome.

LipidLynxX on LIPID MAPS® Lipidomics Gateway.

A robust and accurate converter can only be achieved by community-wide collaborations, thus any issue reports from general users and developers are welcome and will improve LipidLynxX project.","['Endocrinology and metabolism', 'Proteomics', 'Molecular interactions, pathways and networks', 'Lipids', 'Ontology and terminology']","['Pathway analysis', 'ID mapping', 'Formatting']",[],[],['Command-line tool'],0.0,,lipidlynxx,GPL-3.0,554.0,225.0,422.4
OHD,0.250,"Structuring, reuse and analysis of electronic dental data using the Oral Health and Disease Ontology.

We need a standardized approach that enables efficient access to information in Electronic Dental Records, and integration across different dental care providers and EHR systems.","['Medicines research and development', 'Medical informatics', 'Biological databases', 'Dentistry', 'Ontology and terminology']","['Ontology visualisation', 'Data retrieval', 'Standardisation and normalisation']",[],[],['Library'],0.0,https://github.com/oral-health-and-disease-ontologies/ohd-ontology/blob/master/src/analysis/survival.r,ohd,,554.0,225.0,422.4
Mousebook,0.250,"The database and web portal provide access to information about mutant mouse lines held as live or cryopreserved stocks at MRC Harwell. It portal integrates curated information from the MRC Harwell stock resource, and other Harwell databases, with information from external data resources to provide value-added information.","['Ontology and terminology', 'Genotype and phenotype', 'Zoology', 'Genetic variation']","['Database search', 'Query and retrieval', 'Format detection', 'Variant calling']",[],[],['Database portal'],14.0,,mousebook,,554.0,421.0,500.79999999999995
Microbe Browser,0.250,"Web server providing comparative microbial genomics data integrated from GenBank, RefSeq, UniProt, InterPro, Gene Ontology and the Orthologs Matrix Project (OMA) databases. Gene predictions based on 5 software packages is also displayed.","['Genomics', 'Mapping', 'Ontology and terminology', 'Comparative genomics']","['Genome visualisation', 'tRNA gene prediction', 'Gene prediction']",[],[],['Web application'],3.0,,microbe_browser,,554.0,330.0,464.4
Generic GO Term Finder,0.250,A tool for finding significant GO terms shared among a list of genes from your organism of choice.,['Ontology and terminology'],['Gene expression analysis'],[],[],['Web application'],1224.0,,go_term_finder,,554.0,605.0,574.4
HATK,0.250,"HATK(HLA Analysis Tool-Kit) is a collection of tools and modules to perform HLA fine-mapping analysis, which is to identify which HLA allele or amino acid position of the HLA gene is driving the disease. HLA fine-mapping analysis is an indispensable analysis in studies of autoimmune diseases.","['Immunoproteins and antigens', 'Small molecules', 'Pathology', 'Ontology and terminology', 'DNA polymorphism']","['Visualisation', 'Imputation', 'Regression analysis']",[],[],['Command-line tool'],0.0,,hatk,,554.0,225.0,422.4
edamisid,0.250,Find EDAM ontology terms by is_identifier_of relation.,['Ontology and terminology'],['Data retrieval'],[],"[{'data': {'term': 'ontology metadata', 'uri': 'http://edamontology.org/data_2223'}}]",['Command-line tool'],5623.0,http://emboss.open-bio.org/html/adm/ch01s01.html,edamisid,GPL-3.0,554.0,643.0,589.5999999999999
Goslin,0.250,"Goslin is the Grammar of succinct lipid nomenclature project. It defines multiple grammers compatible with ANTLRv4 for different sources of shorthand lipid nomenclature. This allows to generate parsers based on the defined grammars, which provide immediate feedback whether a processed lipid shorthand notation string is compliant with a particular grammar, or not.","['Computational chemistry', 'Bioinformatics', 'Cheminformatics', 'Metabolomics', 'Lipids', 'Ontology and terminology']",['Parsing'],"[{'data': {'term': 'molecule name', 'uri': 'http://edamontology.org/data_0984'}, 'format': {'term': 'tsv', 'uri': 'http://edamontology.org/format_3475'}}]","[{'data': {'term': 'molecule name', 'uri': 'http://edamontology.org/data_0984'}, 'format': {'term': 'tsv', 'uri': 'http://edamontology.org/format_3475'}}]",['Bioinformatics portal'],1.0,https://github.com/lifs-tools/goslin,goslin,,554.0,271.0,440.79999999999995
Gene Ontology (GO),0.250,"The Gene Ontology Consortium continues to develop, maintain and use a set of structured, controlled vocabularies for the annotation of genes, gene products and sequences. Several new relationship types have been introduced and used, along with existing relationships, to create links between and within the domains. Gene product annotation continues to increase both in the number of total annotations and in species coverage. Tools have seen major improvements in functionality, speed and usage.","['Gene structure', 'Zoology', 'Small molecules', 'Gene expression', 'Ontology and terminology']","['Enrichment analysis', 'Ontology visualisation', 'Gene functional annotation']",[],[],['Database portal'],533.0,,go,,554.0,596.0,570.8
Mouse Phenome Database,0.250,"A data repository and analysis suite for curated primary mouse phenotype data.

Available genotype resources and tools.

RESTful API for getting data and metadata.

Already have an account? Sign In.

...an integrated resource to explore physiology","['Zoology', 'Physiology', 'Phenomics', 'DNA', 'Ontology and terminology']","['Database search', 'Data retrieval', 'Imputation', 'Genotyping']",[],[],['Web application'],5.0,https://phenome.jax.org/genotypes,Mouse_Phenome_Database,,554.0,364.0,478.0
HGNChelper,0.250,"Identification and correction of invalid gene symbols for human and mouse.

Identify and Correct Invalid HGNC Human Gene Symbols and MGI Mouse Gene Symbols.","['Gene expression', 'Human biology', 'Ontology and terminology']","['Enrichment analysis', 'Deposition']",[],[],['Library'],0.0,,hgnchelper,,554.0,225.0,422.4
List Ontologies,0.250,This service returns the Ontologies registered on the NIF Ontoquest Server.,"['Ontology and terminology', 'Data management']",['Data retrieval'],[],[],['Web API'],0.0,https://www.biocatalogue.org/services/2713,list_ontologies,,554.0,225.0,422.4
edamname,0.250,Find EDAM ontology terms by name.,['Ontology and terminology'],['Data retrieval'],[],"[{'data': {'term': 'ontology metadata', 'uri': 'http://edamontology.org/data_2223'}}]",['Command-line tool'],5623.0,http://emboss.open-bio.org/html/adm/ch01s01.html,edamname,GPL-3.0,554.0,643.0,589.5999999999999
XenBase,0.250,The model organism database for Xenopus laevis and X. (Silurana) tropicalis.,"['Model organisms', 'Molecular interactions, pathways and networks', 'Gene transcripts', 'Gene expression', 'Ontology and terminology']","['Simulated gene expression data generation', 'Gene expression profiling', 'Gene expression analysis', 'Differential gene expression analysis']",[],[],['Database portal'],84.0,,xenbase,,554.0,534.0,546.0
pyiomica,0.250,"Longitudinal Omics Analysis and Trend Identification.

This repository contains PyIOmica, a Python package that provides bioinformatics utilities for analyzing (dynamic) omics datasets. PyIOmica extends MathIOmica usage to Python and implements new visualizations and computational tools for graph analyses. The documentation is available at Read the Docs: https://pyiomica.readthedocs.io/en/latest/.

Welcome to PyIOmica’s documentation! — pyiomica 1.1.2 documentation.

Free document hosting provided by Read the Docs","['Bioinformatics', 'Ontology and terminology', 'Molecular interactions, pathways and networks']","['Enrichment analysis', 'Pathway or network visualisation', 'Ontology visualisation']",[],[],[],1.0,,pyiomica,MIT,554.0,271.0,440.79999999999995
AllEnricher,0.250,"A comprehensive gene set function enrichment tool for both model and non-model species. This is a tool designed for functional genomic and large-scale genetic studies from which large number of gene lists (e.g. differentially expressed gene sets, co-expressed gene sets, or differential epigenomic modification gene sets etc) are continuously generated. AllEnricher incorporates information from different public resources and provides an easy way for biologists to make sense out of gene lists.","['Molecular interactions, pathways and networks', 'Pathology', 'Gene expression', 'Epigenomics', 'Ontology and terminology']","['Enrichment analysis', 'Pathway analysis', 'Differential gene expression analysis', 'Expression correlation analysis']",[],[],['Script'],1.0,,allenricher,MIT,554.0,271.0,440.79999999999995
GONUTS,0.250,Third-party documentation for new users of GO.,['Ontology and terminology'],['Query and retrieval'],[],[],['Web application'],19.0,,gonuts,,554.0,443.0,509.6
ontoCAT,0.250,"This package provides a simple interface to ontologies described in widely used standard formats, stored locally in the filesystem or accessible online.","['Function analysis', 'Ontology and terminology']",['Visualisation'],[],[],"['Command-line tool', 'Library']",9.0,,ontocat,Apache-2.0,554.0,390.0,488.4
ARISTO,0.250,Web tool which provides information regarding the chemical nature/ontology of the compound underlying an input electron ionization mass spectrum.,"['Metabolomics', 'Ontology and terminology', 'Small molecules']","['Mass spectra calibration', 'Spectral analysis', 'Mass spectrum visualisation']",[],[],['Web application'],9.0,,aristo,,554.0,390.0,488.4
TransSynW,0.250,"A single-cell RNA-sequencing based web application to guide cell conversion experiments.

Convert between cell subtypes by using single-cell data to identify an optimal, subtype-specific set of core transcription factors personalized for your own human or mouse cell study.

Starting cell population: Select or upload a tab-separated file with the single-cell gene expression data from the cell type you started your differentiation protocol from. Genes should be labeled according to the Gene Symbols nomenclature.","['Transcription factors and regulatory sites', 'RNA-Seq', 'Regenerative medicine', 'Cell biology', 'Ontology and terminology']","['Expression profile clustering', 'Formatting', 'Parsing']",[],[],[],0.0,https://git-r3lab.uni.lu/mariana.ribeiro/transsynw,transsynw,,554.0,225.0,422.4
STOREFISH,0.250,"a database on the reproductive strategies of teleost fishes.

Teleost fishes show the most outstanding reproductive diversity of all vertebrates. Yet to date, no one has been able to decisively explain this striking variability, nor to perform large-scale phylogenetic analyses of reproductive modes. Here, we describe STOREFISH 2.0, an online database easing the sharing of an original dataset on reproduction published in 2007, enriched with automated data extraction and presentation to display the knowledge acquired on temperate freshwater fish species. STOREFISH 2 contains the information for 80 freshwater fish species and 50 traits from the analysis of 1219 references. It is anticipated that this new database could be useful for freshwater biodiversity research, conservation, assessment, and management.","['Ontology and terminology', 'Model organisms', 'Biodiversity', 'Phylogenetics']","['Dot plot plotting', 'Essential dynamics', 'Text mining']",[],[],[],0.0,,storefish,,554.0,225.0,422.4
ArachnoServer,0.250,"ArachnoServer is a manually curated database providing information on the sequence, structure and biological activity of protein toxins from spider venoms. Key features of ArachnoServer include a molecular target ontology designed specifically for venom toxins, current and historic taxonomic information and a powerful advanced search interface.","['Proteins', 'Ontology and terminology', 'Small molecules', 'Zoology']","['Protein feature detection', 'Protein structural motif recognition', 'Sequence similarity search']",[],[],['Database portal'],174.0,,arachnoserver,,554.0,567.0,559.2
FunCProp,0.250,Novel label propagation techniques applied to many different types of gene and protein data in order to predict protein function via Gene Ontology annotations.,"['Systems biology', 'Proteins', 'Function analysis']",['Protein function prediction'],[],[],['Command-line tool'],22.0,http://www.mybiosoftware.com/funcprop-function-computational-propagation.html,funcprop,,554.0,452.0,513.2
ADMO,0.250,Alzheimer Disease Map Ontology (ADMO) is an ontology created from a disease map. ADMO is a formal representation of AD pathophysiology at the molecular scale. It was designed to store and link omics biomedical data.,"['Ontology and terminology', 'Molecular interactions, pathways and networks', 'Pathology']",[],[],[],['Ontology'],0.0,,admo,,554.0,225.0,422.4
NBDC RDF Portal,0.250,Comprehensive repository for semantic data in life sciences.,"['Literature and language', 'Ontology and terminology', 'Data management']","['Enrichment analysis', 'Data retrieval']",[],[],['Web application'],2.0,,NBDC_RDF_Portal,Unlicense,554.0,305.0,454.4
AJIA,0.250,Jointly integrating VCF-based variants and OWL-based biomedical ontologies in MongoDB.,"['Mapping', 'Ontology and terminology', 'Sequencing']",['Variant calling'],[],[],['Script'],1.0,,AJIA,,554.0,271.0,440.79999999999995
NESS,0.250,"Finding human gene-disease associations using a Network Enhanced Similarity Search (NESS) of multi-species heterogeneous functional genomics data.

Network Enhanced Similarity Search (NESS).

NESS aggregates and harmonizes heterogeneous graph types including ontologies and their annotations, biological networks, and bipartite representations of experimental study results across species. The tool employs diffusion metrics, specifically a random walk with restart (RWR), to estimate the relations among entities in the graph and to make data-driven comparisons.","['Zoology', 'Epigenetics', 'Genotype and phenotype', 'Molecular interactions, pathways and networks', 'Ontology and terminology']","['Database search', 'Aggregation', 'Variant prioritisation', 'Formatting']",[],[],['Command-line tool'],0.0,,ness,,554.0,225.0,422.4
SEAweb,0.250,"the small RNA Expression Atlas web application.

Sign in with Google or with you SEA account below. If you have not created an account yet, then please register first.

If you have received an eMail from Oasis 2 that the classification or DE analysis results are downloadable, you can provide the given link here, in order to upload the output to this system and compare them with publically available datasets.

SEA (also SEAweb) is a searchable database for the expression of small RNA (miRNA, piRNA, snoRNA, snRNA, siRNA) and pathogens. Publically available sRNA sequencing datasets were analysed with Oasis 2 pipelines and the results are stored here for easy and comparable search. Our curated, ontology connected metadata enables powerful searches within this database. Learn more in the documentation and publication","['Biomarkers', 'RNA-Seq', 'Functional, regulatory and non-coding RNA', 'Gene transcripts', 'Ontology and terminology']","['Database search', 'miRNA target prediction', 'miRNA expression analysis']",[],[],[],1.0,,SEAweb,,554.0,271.0,440.79999999999995
COEUS,0.250,"Semantic web application network that combines a set of algorithms to streamline the creation of new semantic web-based knowledge management systems. In a single package, it provides the tools to create new applications, including advanced integration connectors for different data sources along with ontology mapping techniques.","['Data integration and warehousing', 'Informatics', 'Rare diseases', 'Software engineering', 'Ontology and terminology']","['Aggregation', 'Data retrieval', 'Formatting']",[],[],"['Web application', 'Database portal']",31.0,https://github.com/bioinformatics-ua/COEUS,coeus,CC-BY-3.0,554.0,475.0,522.4
TemplateFlow,0.250,TemplateFlow a community archive of imaging templates and atlases for improved consistency in neuroimaging.,"['Neurobiology', 'Paediatrics', 'Neurology', 'Medical imaging', 'Ontology and terminology']","['Data retrieval', 'Standardisation and normalisation', 'Image annotation']",[],[],"['Web application', 'Database portal']",0.0,http://templateflow.org/browse/,templateflow,,554.0,225.0,422.4
G-SESAME,0.250,"G-SESAME is a suite of online tools for measuring the semantic similarities of Gene Ontology (GO) terms and the functional similarities of gene products, as well as data mining the GO database.","['Data mining', 'Ontology and terminology', 'Gene and protein families', 'Molecular interactions, pathways and networks']","['Data retrieval', 'Gene prediction', 'Gene functional annotation']",[],[],['Web application'],78.0,,g-sesame,,554.0,529.0,544.0
The BRENDA Tissue Ontology (BTO),0.250,"BRENDA Tissue Ontology is a structured encyclopedia of tissue terms. BTO contains different anatomical structures, tissues, cell types and cell lines, classified under generic categories corresponding to the rules and formats of the Gene Ontology Consortium and organized as a directed acyclic graph (DAG). A versatile web interface with several search and navigation functionalities allows convenient online access to the BTO and to the enzymes isolated from the tissues.","['Microarray experiment', 'Enzymes', 'Model organisms', 'Ontology and terminology', 'Biobank']","['Ontology visualisation', 'Ontology comparison', 'Gene expression profiling']",[],[],['Database portal'],95.0,,bto,,554.0,538.0,547.6
bio.tools,0.250,The community registry of computational tools and data resources for biosciences.,"['Bioinformatics', 'Data submission, annotation and curation', 'Ontology and terminology', 'Computational biology']",['Data retrieval'],[],"[{'data': {'term': 'tool metadata', 'uri': 'http://edamontology.org/data_0958'}, 'format': {'term': 'yaml', 'uri': 'http://edamontology.org/format_3750'}}]","['Web API', 'Web application', 'Database portal']",74.0,https://biotools.readthedocs.io/en/latest/support.html?highlight=help,bio.tools,GPL-3.0,554.0,528.0,543.6
MegaGO,0.250,"A fast yet powerful approach to assess functional similarity across meta-omics data sets.

Calculate semantic distance for sets of Gene Ontology terms.","['Proteomics', 'Metatranscriptomics', 'Microbial ecology', 'Metagenomics', 'Ontology and terminology']",[],[],[],['Web application'],0.0,https://github.com/MEGA-GO/,megago,MIT,554.0,225.0,422.4
ontoget,0.250,Get ontology term(s).,['Ontology and terminology'],['Data retrieval'],[],"[{'data': {'term': 'ontology term', 'uri': 'http://edamontology.org/data_0966'}}]",['Command-line tool'],5623.0,http://emboss.open-bio.org/html/adm/ch01s01.html,ontoget,GPL-3.0,554.0,643.0,589.5999999999999
EBI Search,0.250,"High-performance, full-featured text searches across all EMBL-EBI databases or in selected databases available from EMBL-EBI.","['Proteomics', 'Functional genomics', 'Structural genomics', 'Microarray experiment', 'Systems biology', 'Genomics', 'Protein interactions', 'Literature and language', 'Molecular interactions, pathways and networks', 'Ontology and terminology', 'Comparative genomics']","['Genome annotation', 'Data retrieval', 'Literature search']",[],[],['Web service'],989.0,https://www.biocatalogue.org/services/3763,ebi_search,,554.0,603.0,573.6
SOBA: Sequence Ontology Bioinformatics Analysis,0.250,Provides a simple statistical and graphical summary of an annotated genome. To be used by annotators and for genome comparison.,"['Ontology and terminology', 'Sequencing', 'Sequence assembly', 'Sequence analysis']","['Genome comparison', 'Genome annotation', 'Ontology comparison']",[],[],['Web application'],4.0,,soba,,554.0,354.0,474.0
DisoFun,0.250,"DisoFun is a tool for differentiating isoform functions with collaborative matrix factorization.

Description :This page includes the codes of DisoFun which are implemented and tested on Matlab2014a version by Mr. Wang (Keyao Wang, Email: l: keyaowang@email.swu.edu.cn) an) and free for academic usage. You can run it at your own disk. For other purposes, please contact Dr. Yu (Guoxian Yu, Email: l: gxyu@swu.edu.cn). I). If you have any problem on using these codes, just contact us via Email.","['RNA-Seq', 'RNA splicing', 'Pathology', 'Gene transcripts', 'Ontology and terminology']","['Alternative splicing prediction', 'Aggregation', 'Gene functional annotation']",[],[],['Script'],4.0,,disofun,,554.0,354.0,474.0
FHIR,0.250,"FHIR is a standard for health care data exchange. It is a platform specification that defines a set of capabilities use across the healthcare process, in all jurisdictions, and in lots of different contexts.","['Database management', 'Infectious disease', 'Medical informatics', 'Allergy, clinical immunology and immunotherapeutics', 'Ontology and terminology']","['Data retrieval', 'Sequence trimming', 'Visualisation', 'Database search', 'Essential dynamics']",[],[],['Web API'],2.0,,FHIR,,554.0,305.0,454.4
OnClass,0.250,"Unifying single-cell annotations based on the Cell Ontology.

Single cell typing based on cell ontology.

please see the document of OnClass at https://onclass.readthedocs.io/en/latest/","['Cell biology', 'Ontology and terminology', 'RNA-Seq', 'Transcriptomics']","['Expression analysis', 'Differential gene expression analysis']",[],[],['Command-line tool'],0.0,https://github.com/wangshenguiuc/OnClass,OnClass,,554.0,225.0,422.4
badmut,0.250,"Applying deep learning to integrate deleteriousness prediction scores for whole-exome SNV studies.

Our services require cookies to keep track of your submissions and find your results. Submissions expire after 24 hours.","['Genomics', 'Exome sequencing', 'Genetic variation', 'Rare diseases', 'Machine learning', 'Ontology and terminology']","['Variant calling', 'Variant prioritisation', 'Regression analysis']",[],[],['Web application'],0.0,,badmut,,554.0,225.0,422.4
PhenPath,0.250,"A tool for characterizing biological functions underlying different phenotypes.

a web server for associating phenotypes with molecular functional annotations.

PhenPath includes a database and a tool:.
'","['Molecular interactions, pathways and networks', 'Rare diseases', 'Genotype and phenotype', 'Pathology', 'Ontology and terminology', 'Public health and epidemiology']","['Enrichment analysis', 'Data retrieval', 'Gene functional annotation']",[],[],['Command-line tool'],4.0,,phenpath,,554.0,354.0,474.0
Bibliome Variant Database,0.250,The Bibliome Variant Database is a collection of variants mined from open-access primary literature. All variants included in the database have been mapped to the human genome and are presented in a manner ordered by genomic location. The goal of this database is to provide a searchable structured resource listing variant-containing references.,"['Genomics', 'Literature and language', 'Gene expression', 'Mapping', 'Ontology and terminology']","['Variant calling', 'Variant classification', 'Text mining', 'Database search']",[],[],['Database portal'],0.0,,bibliome,,554.0,225.0,422.4
BiPOm,0.250,BiPOm is a rule-based ontology to represent and infer molecule knowledge from a biological process-centered viewpoint.,"['Ontology and terminology', 'Enzymes', 'Machine learning', 'Endocrinology and metabolism', 'Molecular biology']","['Enrichment analysis', 'Metabolic network modelling', 'Metabolic pathway prediction']",[],[],['Ontology'],0.0,http://bioportal.bioontology.org/ontologies/BIPOM,bipom,CC-BY-4.0,554.0,225.0,422.4
RatsPub,0.250,"a webservice aided by deep learning to mine PubMed for addiction-related genes.

RatsPub: Relationship with Addiction Through Searches of PubMed.

RatsPub searches PubMed to find sentences that contain the query terms (e.g., gene symbols) and a drug addiction related keyword. Over 300 of these keywords are organized into six categories:.

RatsPub is a tool to efficiently and comprehensively answer the question ""What do we know about these genes and addiction?"".

RatsPub answers this question by searching PubMed to find sentences containing the query terms (i.e., gene symbols) and over 300 drug addiction-related keywords that are organized into six categories. Data from NHGRI-EBI GWAS catalog are also included in the search. These gene-keyword relationships are presented as an interactive graph and a table.","['Natural language processing', 'Metabolomics', 'Machine learning', 'GWAS study', 'Ontology and terminology']","['Database search', 'Data retrieval']",[],[],[],0.0,http://rats.pub,ratspub,MIT,554.0,225.0,422.4
SIBiLS,0.250,"RESTful customizable search engines in biomedical literature, enriched with automatically mapped biomedical concepts.

COVID-19 outbreak: explore our literature triage interface and APIs.","['Bioinformatics', 'Personalised medicine', 'Literature and language', 'Workflows', 'Ontology and terminology']","['Data retrieval', 'Parsing', 'Literature search', 'Relation extraction']",[],[],[],0.0,,sibils,,554.0,225.0,422.4
Pomelo II,0.250,"Pomelo II is a web-server for the analysis of gene (and protein) expression and tissue array data. Different statistical tests are applied depending on the input data. Links are also provided to additional sources of information such as PubMed references, Gene Ontology terms, GO terms, etc.","['Experimental design and studies', 'Microarray experiment', 'Molecular interactions, pathways and networks', 'Gene expression', 'Ontology and terminology']","['Gene expression profiling', 'Differential gene expression analysis', 'Gene expression analysis', 'Regression analysis']",[],[],['Web application'],32.0,,pomelo_ii,,554.0,479.0,524.0
OLS Dialog,0.250,Java front end to the Ontology Lookup Service allowing easy access to an extensive list of biomedical ontologies.,"['Genetics', 'Data submission, annotation and curation', 'Ontology and terminology']",['Data retrieval'],[],[],['Desktop application'],10.0,http://www.mybiosoftware.com/ols-dialog-3-4-0-java-front-ontology-lookup-service.html,ols_dialog,,554.0,400.0,492.4
GOSemSim,0.250,"The semantic comparisons of Gene Ontology (GO) annotations provide quantitative ways to compute similarities between genes and gene groups, and have became an important basis for many bioinformatics analysis approaches. This R package analyzes the semantic similarity computation among GO terms, sets of GO terms, gene products and gene clusters.",['Ontology and terminology'],['Ontology comparison'],"[{'data': {'term': 'ontology', 'uri': 'http://edamontology.org/data_0582'}, 'format': {'term': 'ontology format', 'uri': 'http://edamontology.org/format_2195'}}]","[{'data': {'term': 'score', 'uri': 'http://edamontology.org/data_1772'}, 'format': {'term': 'textual format', 'uri': 'http://edamontology.org/format_2330'}}]","['Command-line tool', 'Library']",433.0,https://guangchuangyu.github.io/GOSemSim,gosemsim,Artistic-2.0,554.0,589.0,568.0
FLyOde,0.250,"Systematic assembly of data on Drosophila melanogaster eye development. It consists of data on eye development obtained from the literature, and a web interface for users to interactively display these data as a gene regulatory network.","['Model organisms', 'Ontology and terminology', 'Molecular interactions, pathways and networks']","['Pathway or network analysis', 'Gene regulatory network analysis']",[],[],['Web application'],2.0,https://github.com/begum-alaybeyoglu/FlyOde,flyode,MIT,554.0,305.0,454.4
ProLoc-GO,0.250,ProLoc-GO is an efficient sequence-based method by mining informative Gene Ontology terms for predicting protein subcellular localization.,['Ontology and terminology'],['Protein sequence analysis'],[],[],['Web application'],98.0,http://www.mybiosoftware.com/proloc-go-utilizing-informative-go-terms-for-sequence-based-prediction-of-protein-subcellular-localization.html,proloc-go,,554.0,541.0,548.8
AmiGO 2,0.250,The GO Consortium GO browser and search engine.,['Ontology and terminology'],"['Ontology visualisation', 'Query and retrieval', 'Sequence comparison', 'Gene expression analysis']",[],[],['Web application'],944.0,,amigo_2,,554.0,600.0,572.4
Retina,0.250,"Design, development and deployment of a web-based interoperable registry for inherited retinal dystrophies in Portugal.

Design, Development and Deployment of a Web-Based Interoperable Registry for Inherited Retinal Dystrophies in Portugal – the IRD-PT.

Em manutenção...por favor tente mais tarde!.

If you want to know what will expect you here shortly, check out the reel:.

||| COMMON LINK WITH (PUB. & NAME DIFFERENT) bio.tools/Ribopeaks (COM.)

||| CORRECT NAME OF TOOL COULD ALSO BE 'retina.pt', 'Retina Study Group', 'registries increases', 'Retina Study'","['Rare diseases', 'Genotype and phenotype', 'Ontology and terminology', 'Surgery', 'Public health and epidemiology']",['Genotyping'],[],[],[],0.0,https://www.retina.com.pt,retina,,554.0,225.0,422.4
ChipInfo,0.250,Extracts gene annotation and gene ontology information from databases like NetAffx and Gene Ontology (GO) for microarray analysis. Output is provided in tabular format and the program is available for download for use on your own machine.,"['Gene expression', 'Microarray experiment', 'Ontology and terminology', 'Probes and primers']","['Gene functional annotation', 'Gene expression analysis']",[],[],['Web application'],81.0,,chipinfo,,554.0,531.0,544.8
Protein Naming Utility,0.250,"Web-based database for storing and applying naming rules to identify and correct syntactically incorrect protein names, or to replace synonyms with their preferred name. It allows users to generate and manage collections of naming rules, optionally building upon the growing body of rules generated at the J. Craig Venter Institute (JCVI). Users can check their protein names against a selected collection, generating both statistics and corrected names.","['Animals', 'Proteins', 'Ontology and terminology', 'Gene and protein families']","['Data handling', 'Protein modelling', 'Deposition']",[],[],['Database portal'],4.0,,protein_naming_utility,,554.0,354.0,474.0
GOMAP,0.250,"Gene Ontology Meta Annotator for Plants.

Lawrence-Dill Plant Informatics and Computation Lab.

Welcome to GOMAP-singularity’s documentation! — GOMAP-Singularity 1.3.2 documentation.

All publications and products by the team at Lawrence-Dill Plant Informatics and Computation Lab. Click on the link to learn more.

Publicly available GOMAP Datasets.

These datasets generated by GOMAP are new high-coverage and reproducible functional annotation sets of protein coding genes based on Gene Ontology (GO) term assignments. Follow the DOI link for more information, access, and download. Check out the main project page (Home on the left) to find out more about how they were generated and how you can use the pipeline yourself.","['Sequence assembly', 'Genomics', 'Computer science', 'Plant biology', 'Ontology and terminology']","['Genome annotation', 'Gene functional annotation', 'Sequence assembly']",[],[],['Database portal'],0.0,,GOMAP,,554.0,225.0,422.4
RIKEN integrated database of mammals,0.250,"It integrates not only RIKEN’s original databases, but also imported data from public databases, such as Ensembl, MGI and biomedical ontologies. The top-level ontology-based implementation of mammal-related data directly integrates the representative knowledge and individual data records in existing databases to ensure advanced cross-database searches and reduced unevenness of the data management operations.","['Structure analysis', 'Data mining', 'Ontology and terminology', 'Informatics']","['Database search', 'Query and retrieval', 'Data retrieval', 'Structure database search']",[],[],['Database portal'],16.0,http://scinets.org/db/mammal,riken,,554.0,429.0,504.0
